ID,total_focus_time,element_switch_count,element_switch_speed,totaltime_x,click_count_x,total_mouse_movement_x,mousewheel_count_x,total_mousewheel_distance_x,average_mousewheel_distance_x,copy_count_x,average_copy_length_x,paste_count_x,average_paste_length_x,delete_count_x,keypress_count_x,highlight_count_x,average_highlight_length_x,idle_count_x,average_idle_duration_x,total_idle_duration_x,prompts_count,total_prompts_duration,average_prompts_duration,tab_switch_count,total_tab_switch_time,average_tab_switch_time,totaltime_y,click_count_y,total_mouse_movement_y,mousewheel_count_y,total_mousewheel_distance_y,average_mousewheel_distance_y,copy_count_y,average_copy_length_y,paste_count_y,average_paste_length_y,delete_count_y,keypress_count_y,highlight_count_y,average_highlight_length_y,idle_count_y,average_idle_duration_y,total_idle_duration_y,Score
1037,5,5,183.1856,915.928,17,31315.603806573567,1203,12409.0,10.315045719035744,3,1786.3333333333333,3,3211.333333333333,13,280,5,1446.0,27,3008.5185185185187,81230,4,879.859,219.96475,0,0.0,,920.004,9,36604.56710442406,2292,24838.0,10.836823734729494,3,2760.0,2,1761.0,0,2,6,3257.5,42,3011.5476190476197,126485,1.0
1041,10,10,37.1397,371.397,21,21625.95484733949,22,5866.666666666668,266.66666666666674,1,201.0,5,965.2,34,382,3,135.0,22,3004.8636363636365,66107,4,323.098,80.7745,0,0.0,,367.957,8,24701.08908453933,25,7703.703340897581,308.14813363590326,3,1466.0,0,0.0,0,0,5,1752.0,14,3006.714285714286,42094,6.0
1042,11,11,66.02827272727274,726.311,23,27215.99599588223,287,32100.0,111.84668989547038,0,0.0,5,929.0,1,0,2,2.0,22,3134.090909090909,68950,4,0.0,,24,217.58499999999995,18.13208333333333,724.551,7,21276.43821436269,335,12312.0,36.75223880597015,1,4326.0,0,0.0,0,0,2,4326.0,21,3066.8571428571427,64404,1.0
1043,12,12,44.57316666666667,534.878,48,59742.8779121956,251,19533.333333333336,77.82204515272245,2,930.0,3,1486.3333333333333,5,223,7,527.2857142857143,40,3013.15,120526,0,0.0,0.0,4,10.734,5.367,536.11,14,50264.18167932573,522,35666.66666666676,68.32694763729265,2,2178.5,1,1782.0,0,6,5,1801.8,37,3059.5675675675675,113204,1.0
1044,5,5,94.8892,474.446,15,18677.283760111164,5045,33246.0,6.589890981169475,0,0.0,3,1466.0,28,254,1,3.0,26,3001.1153846153848,78029,4,395.547,98.88675,0,0.0,,528.413,10,7287.692870172482,3245,23149.0,7.133744221879815,3,1466.0,1,731.0,0,6,4,1456.75,15,3001.5333333333333,45023,7.0
1045,6,6,134.05933333333334,804.356,17,42214.73418532993,227,29200.0,128.63436123348018,2,1581.0,2,3035.5,11,305,7,1370.0,24,3011.833333333333,72284,6,784.287,130.71450000000002,2,0.667,0.667,803.6,85,142942.65705578218,345,41000.0,118.84057971014492,1,1722.0,3,1082.3333333333333,111,616,16,560.5625,24,3011.708333333333,72281,5.0
1050,4,4,113.31075,453.243,10,17147.905937020525,1800,18260.0,10.144444444444444,0,0.0,1,4326.0,79,928,0,0.0,25,3002.24,75056,8,419.808,52.476,0,0.0,,457.661,10,8161.092001190338,2175,10895.0,5.00919540229885,1,4326.0,0,0.0,0,2,5,2664.8,12,3001.6666666666665,36020,2.0
2001,4,4,80.888,323.552,13,12353.966517989584,135,15500.0,114.8148148148148,1,1979.0,1,4342.0,10,140,2,1979.0,8,3018.5,24148,5,85.50800000000001,17.1016,0,0.0,,322.876,12,22943.867098431827,255,28000.0,109.80392156862744,1,4326.0,1,1989.0,24,182,2,2239.5,21,3008.095238095238,63170,3.0
2002,5,5,28.329,141.645,8,9496.341703056918,304,6345.555443488996,20.873537643055908,1,858.0,3,2915.6666666666665,11,91,3,625.6666666666666,9,3018.555555555556,27167,2,45.619,22.8095,0,0.0,,142.723,15,15323.023273299748,227,2342.0,10.317180616740089,2,2194.5,1,864.0,9,112,6,810.0,4,3005.25,12021,9.0
2004,5,5,114.4862,572.431,13,10643.12271016662,179,14097.264404296877,78.75566706311103,1,1682.0,1,4326.0,29,320,2,1682.0,8,3001.625,24013,5,391.081,78.2162,0,0.0,,572.64,6,15856.605401896277,265,23944.508666992188,90.3566364792158,1,4326.0,1,1658.0,2,0,2,4326.0,16,3001.375,48022,2.0
2011,4,4,24.91525,99.661,6,16308.822075098456,0,0.0,0.0,1,1783.0,2,2284.5,0,21,2,1783.0,5,3007.6,15038,2,37.924,18.962,0,0.0,,104.928,4,17700.687551102863,120,10240.0,85.33333333333333,2,2275.5,1,1787.0,0,0,2,2275.5,7,3005.428571428572,21038,3.0
2012,8,8,32.266625,258.133,16,27208.90637910793,0,0.0,0.0,2,1297.5,3,1525.0,2,36,5,770.8,10,3010.1,30101,3,7.4680000000000035,2.4893333333333345,0,0.0,,258.811,30,27143.15912462678,164,16500.0,100.60975609756098,3,1519.6666666666667,1,1249.0,12,207,14,694.4285714285714,7,3007.8571428571427,21055,7.0
2014,7,7,35.518857142857144,248.632,12,7679.397903934914,836,19750.0,23.6244019138756,3,217.33333333333331,1,4326.0,0,69,3,217.33333333333331,8,3001.625,24013,3,46.799,15.599666666666666,0,0.0,,250.1,15,7262.333204396206,1069,13483.0,12.612722170252573,1,4326.0,3,217.33333333333331,1,9,4,1082.25,14,3000.8571428571427,42012,6.0
2015,3,3,127.90433333333334,383.713,10,7739.718411835836,281,4239.0,15.08540925266904,1,1572.0,1,4326.0,36,104,3,1067.6666666666667,5,3003.4,15017,0,0.0,0.0,0,0.0,,382.783,21,23428.665320586657,2891,34421.0,11.90626080940851,1,4326.0,1,1572.0,6,95,6,915.5,19,3058.9473684210525,58120,4.0
